HAge,WAge,HAgeMar
49,43,25
25,28,19
40,30,38
52,57,26
58,52,30
32,27,23
43,52,33
47,43,26
31,23,26
26,25,23
40,39,23
35,32,31
35,35,19
35,33,24
47,43,24
38,35,27
33,32,28
32,30,22
38,40,31
29,29,25
59,55,23
26,25,18
50,45,25
49,44,27
42,40,28
33,31,22
27,25,21
57,51,32
34,31,28
28,25,23
37,35,22
56,55,44
27,23,25
36,35,22
31,28,20
57,52,25
55,53,21
47,43,25
64,61,21
31,23,28
35,35,25
36,35,22
40,39,23
30,24,27
32,29,21
20,21,19
45,39,25
59,52,27
43,52,25
29,26,24
