Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Bathroom
18/05/2022,2,10000,1100,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,2
13/05/2022,2,20000,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,1
16/05/2022,2,17000,1000,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,1
04/07/2022,2,10000,800,1 out of 2,Super Area,Dumdum Park,Kolkata,Unfurnished,1
09/05/2022,2,7500,850,1 out of 2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,1
29/04/2022,2,7000,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,2
21/06/2022,2,,700,Ground out of 4,Super Area,Malancha,Kolkata,Unfurnished,2
21/06/2022,1,,250,1 out of 2,Super Area,Malancha,Kolkata,Unfurnished,1
07/06/2022,2,,800,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,2
20/06/2022,2,10000,1000,1 out of 3,Carpet Area,,Kolkata,Semi-Furnished,2
23/05/2022,3,25000,1200,1 out of 4,Carpet Area,,Kolkata,Semi-Furnished,2
07/06/2022,1,5000,400,1 out of 1,Carpet Area,,Kolkata,Unfurnished,1
14/05/2022,1,6500,250,1 out of 4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,1
09/05/2022,1,5500,375,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,1
05/05/2022,3,8500,900,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,2
01/06/2022,3,40000,1286,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,2
17/05/2022,2,6000,600,1 out of 2,Super Area,Barasat,Kolkata,Semi-Furnished,1
20/06/2022,2,10000,800,Ground out of 2,Super Area,Behala,Kolkata,Unfurnished,1
09/06/2022,2,11000,2000,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,1
09/06/2022,2,6000,660,1 out of 2,Super Area,Behala,Kolkata,Unfurnished,1
02/07/2022,2,7900,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,1
14/06/2022,2,9000,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,2
15/06/2022,1,4000,300,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,1
15/06/2022,3,6500,1600,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,1
28/05/2022,1,8000,400,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,1
22/05/2022,2,7000,1000,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,1
18/06/2022,1,5300,355,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,1
25/06/2022,2,6000,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,1
22/06/2022,2,8500,800,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,1
25/06/2022,2,12500,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,2
21/05/2022,1,7500,350,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,1
26/06/2022,2,15000,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,2
16/06/2022,2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,1
29/06/2022,2,5000,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,2
10/05/2022,3,22000,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,1
12/05/2022,2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,1
03/06/2022,2,12500,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,1
31/05/2022,2,7000,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,1
10/06/2022,2,21000,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,2
